"HOUSING_MODEL$coefficients" "NAME"
"(Intercept)" 152621.610872553 "(Intercept)"
"BED" 10688.051475039 "BED"
"BATH" 25925.6855622573 "BATH"
"LA" -1.17142353140553e-05 "LA"
"LD" 1.59301059944899e-05 "LD"
"AGE" -1126.76592110496 "AGE"
"POOL_ABOVE1" -884.74383867556 "POOL_ABOVE1"
"POOL_IN1" 46274.7610924963 "POOL_IN1"
"GAR_DOUBLE1" 65888.3443996046 "GAR_DOUBLE1"
"GAR_SINGLE1" 21845.2778429125 "GAR_SINGLE1"
"BASEMENT_FINISH1" -709.713404038711 "BASEMENT_FINISH1"
"BRICK1" 2477.14946669967 "BRICK1"
"STONE1" 26336.3705461671 "STONE1"
"CERAMIC1" 2110.39898085532 "CERAMIC1"
"HARDWOOD1" 16434.0724223408 "HARDWOOD1"
"HIGHWAY1" -219.165218211259 "HIGHWAY1"
"NOBACK1" 12221.9317676858 "NOBACK1"
"RESIDENTIAL1" 3241.32668402427 "RESIDENTIAL1"
"PUBLICT1" -6620.56278392007 "PUBLICT1"
"KITCHENISLAND1" 23103.7971006631 "KITCHENISLAND1"
"TYPE2 Storey" 25026.3348500376 "TYPE2 Storey"
"TYPEBungalow" -30076.1853521996 "TYPEBungalow"
"TYPESemi-detached" -59135.8393688162 "TYPESemi-detached"
"TYPETownhouse" -72982.3708287342 "TYPETownhouse"
"YOS2003" -120630.460364905 "YOS2003"
"YOS2004" -85983.3506291368 "YOS2004"
"YOS2005" -70362.6073704462 "YOS2005"
"YOS2006" -61297.4320609625 "YOS2006"
"YOS2007" -52231.4183186526 "YOS2007"
"YOS2008" -35027.7856147705 "YOS2008"
"YOS2009" -22088.6011603481 "YOS2009"
"YOS2010" -5406.75712893376 "YOS2010"
"YOS2011" 7774.42770527411 "YOS2011"
"YOS2012" 14856.093940406 "YOS2012"
"YOS2013" 22279.2150858931 "YOS2013"
"YOS2014" 24916.00182729 "YOS2014"
"YOS2015" 28395.1596068186 "YOS2015"
"YOS2016" 31927.7788395691 "YOS2016"
"YOS2017" 37482.4921834503 "YOS2017"
"YOS2018" 48128.7359966685 "YOS2018"
"YOS2019" 59033.8342235387 "YOS2019"
"YOS2020" 90300.2064719141 "YOS2020"
"YOS2021" 148242.872428479 "YOS2021"
"YOS2022" 202970.247285577 "YOS2022"
"YOS2023" 213322.962988366 "YOS2023"
"CITYActon Vale" -32351.3707222316 "CITYActon Vale"
"CITYAdstock" -10374.3441698603 "CITYAdstock"
"CITYAguanish" -217506.737924718 "CITYAguanish"
"CITYAhuntsic / Cartierville" 310289.291922246 "CITYAhuntsic / Cartierville"
"CITYAlbanel" -122957.359730351 "CITYAlbanel"
